Problem,Config,Delta,Time,PlanLength,PlanningTime,HeuristicTime,SearchTime,ExpandedNodes,StatesEvaluated,PlanDuration
p01-bike,E+AIBR,∂e,308,57,150,31,41,138,239,765
p01-bike,E+AIBR,∂p,295,696,155,24,42,116,210,690
p01-bike,E+AIBR,K∂,449,742,358,211,246,875,969,690
p01-bike,E+HADD,∂e,256,57,166,11,49,1774,2078,765
p01-bike,E+HADD,∂p,270,696,179,11,59,1753,2073,690
p01-bike,E+HADD,K∂,1960,742,1877,999,1750,414306,427917,690
p01-bike,E+BLIND,∂e,249,57,156,1,43,3700,3786,765
p01-bike,E+BLIND,∂p,321,696,227,1,120,12530,13124,690
p01-bike,E+BLIND,K∂,4781,742,4682,50,4572,2585068,2595998,690
p01-car,E+AIBR,∂e,222,29,131,14,26,84,131,200
p01-car,E+AIBR,∂p,229,202,139,15,30,104,152,190
p01-car,E+AIBR,K∂,307,221,228,87,112,1140,1265,190
p01-car,E+HADD,∂e,220,29,133,5,23,285,340,200
p01-car,E+HADD,∂p,218,202,142,6,32,471,583,190
p01-car,E+HADD,K∂,390,221,301,79,184,25362,26905,190
p01-car,E+BLIND,∂e,224,29,136,0,19,399,418,200
p01-car,E+BLIND,∂p,249,202,153,0,39,1365,1509,190
p01-car,E+BLIND,K∂,349,221,260,2,148,61206,62286,190
p01-f1,E+AIBR,∂e,206,29,130,13,25,61,106,138
p01-f1,E+AIBR,∂p,214,138,133,12,25,59,105,132
p01-f1,E+AIBR,K∂,278,160,186,47,66,142,188,132
p01-f1,E+HADD,∂e,231,29,138,5,19,154,182,138
p01-f1,E+HADD,∂p,233,138,142,9,29,402,489,132
p01-f1,E+HADD,K∂,382,160,278,60,156,18660,20275,132
p01-f1,E+BLIND,∂e,212,29,124,0,19,527,552,138
p01-f1,E+BLIND,∂p,239,138,150,0,40,2189,2391,132
p01-f1,E+BLIND,K∂,387,160,299,2,179,84301,86161,132
p02-bike+car,E+AIBR,∂e,784,123,692,513,573,5290,10295,1060
p02-bike+car,E+AIBR,∂p,816,1030,718,512,604,6297,12232,1010
p02-bike+car,E+AIBR,K∂,997,862,906,745,785,1874,2325,720
p02-bike+car,E+HADD,∂e,55307,121,55180,29952,55060,5749351,7908622,1060
p02-bike+car,E+HADD,∂p,TO,-,-,-,-,-,-,-
p02-bike+car,E+HADD,K∂,TO,-,-,-,-,-,-,-
p02-bike+car,E+BLIND,∂e,64362,121,64193,316,64072,15125002,15422566,1060
p02-bike+car,E+BLIND,∂p,TO,-,-,-,-,-,-,-
p02-bike+car,E+BLIND,K∂,MO,-,-,-,-,-,-,-
p03-bike+car+f1,E+AIBR,∂e,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+AIBR,∂p,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+AIBR,K∂,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+HADD,∂e,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+HADD,∂p,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+HADD,K∂,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+BLIND,∂e,MO,-,-,-,-,-,-,-
p03-bike+car+f1,E+BLIND,∂p,TO,-,-,-,-,-,-,-
p03-bike+car+f1,E+BLIND,K∂,MO,-,-,-,-,-,-,-
